'id','coverage','number_of_frames','scanned','medium','print_type','physical_location','remarks','created','last_modified','collection_id','frame_size_id','scale_id'
'e0770ba1-3f70-4ea5-a5a9-cc20b59f1797','Partial',10,0,'Print','B&W','DENTON','','2018-02-07 16:21:43.977287+00','2018-02-07 16:21:43.977281+00','9b3bcb75-9153-47a1-85ca-42b68b35ae0c','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'8ef98fdf-c633-4c05-9f3e-52b6344200a3','Partial',12,0,'Print','B&W','ARANSAS','Full set scanned at 800dpi.','2018-02-07 16:21:44.744138+00','2018-02-07 16:21:44.744133+00','740b202f-3fd7-45bc-91ac-94871a18a258','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'b34ca86d-96f4-446f-a0de-a000ac59a435','Partial',175,0,'Print','B&W','FC40C','n/a','2018-02-07 16:21:44.744138+00','2018-02-07 16:21:44.744133+00','740b202f-3fd7-45bc-91ac-94871a18a258','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'1270b464-b01f-497c-b370-bc7af01a92c5','Partial',20,0,'Print','B&W','STEPHENS','POSSUM KINGDOM LAKE','2018-02-07 16:21:45.5895+00','2018-02-07 16:21:45.589495+00','13378c0d-3086-4c9c-b20f-1b0bf227235f','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'4fafab9b-8392-46b1-9265-d173f3f84339','Partial',7,0,'Print','B&W','FC31D','','2018-02-07 16:21:45.952302+00','2018-02-07 16:21:45.952296+00','8e46955c-d415-42f4-9389-52464dfc5d78','a3b9aa31-af6d-4052-8f73-552545a13e09','bf3e85b0-5aeb-4df2-a0f6-7472ad6f8b44'
'8345f00d-b8a6-46fc-93b2-4b90e8debc68','Partial',76,0,'Print','B&W','FC41G','Corpus area','2018-02-07 16:21:46.360814+00','2018-02-07 16:21:46.360808+00','e4f3d9c6-be92-4c74-951b-97e13936c418','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'9f0bd911-afde-4ad4-aaa0-e314985337e9','Partial',40,0,'Print','B&W','FC31D','Baffin Bay North','2018-02-07 16:21:47.124104+00','2018-02-07 16:21:47.124098+00','4b7fb067-6918-417e-960f-5af9a9ed908d','a3b9aa31-af6d-4052-8f73-552545a13e09','653ed560-7f3b-461d-84a9-0b44e772eb97'
'94d246ef-71c2-4dc9-804c-d09497d51f07','Partial',16,0,'Print','B&W','FC31D','Southern Matagorda Bay; RSDIS_1907','2018-02-07 16:21:48.272253+00','2018-02-07 16:21:48.272246+00','c15161b1-1825-45ef-addf-7db4a89a2e9e','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'cf11d4cb-ef40-4e7f-8f6b-44665e4b9ecf','Partial',36,0,'Print','B&W','FC 31D','Black and White','2018-02-07 16:21:48.675084+00','2018-02-07 16:21:48.675064+00','49a5a316-645a-4a3a-b28d-acd5f5f01f0c','a3b9aa31-af6d-4052-8f73-552545a13e09','f8762335-1681-4a5f-9709-096c2e91f332'
'c635a7b5-064a-48c4-b7cf-4c8712fc8e5c','Partial',14,0,'Print','B&W','FC31D','South Padre Island','2018-02-07 16:21:49.039661+00','2018-02-07 16:21:49.039655+00','7fa24b1d-faa6-4068-94f8-e19b14b41f13','a3b9aa31-af6d-4052-8f73-552545a13e09','85b24f91-47c7-4836-878d-44df0c5269ce'
