"id","remarks","created","last_modified","collection_id"
"4fa41e91-5694-422c-ae4d-4e7511384272","","2018-02-07 16:13:04.36285+00","2018-02-07 16:13:04.362832+00","0c9b04b0-94a9-4251-956d-629eadadd164"
"2d626231-c895-480d-8c08-7a55f262c910","2 line indexes for Collin 1990","2018-02-07 16:07:37.699092+00","2018-04-07 14:43:02.850217+00","f8b5149d-fd85-4ed2-a3f6-3a924f9bc1d4"
"b7917a2c-2ef6-4c06-950e-114d071423b5","1 line index for Bexar 1992","2018-02-07 16:11:25.664477+00","2018-04-07 15:12:30.276043+00","531594f8-0cb1-442f-9f0d-839d20e617d4"
"9cc47770-9942-46fb-b91b-21540e314e79","1 line index for Williamson 1988","2018-02-07 16:09:48.389281+00","2018-04-07 16:29:23.39644+00","dd26beeb-c2b7-4917-a7b6-8711ecbb3553"
"fe83740c-bacc-480a-bc66-bf4b0dd35e80","1 line index for Dallas 1980","2018-02-07 16:10:20.986467+00","2018-04-07 15:42:07.398758+00","1800f848-039c-47e3-a515-93d5ce61d1e7"
"a4202572-4fa3-4653-83f4-fe01d6f040be","1 line index for Brazos 1979","2018-02-07 16:11:44.764617+00","2018-04-07 15:57:23.709339+00","6f6ebe02-15f4-43b7-8cf1-7206449f83e5"
"b7bd1ec8-fd16-4614-8402-6775ce824267","1 line index for Hays 1980","2018-02-07 16:08:17.216598+00","2018-04-07 16:11:55.532099+00","82bf0615-17ef-4579-a815-7236e859f83f"
"26ba2059-e5fb-469e-850e-a405377a8b9e","2 line indexes","2018-02-07 16:07:45.371267+00","2018-11-28 22:18:57.295157+00","4bc3ab28-c068-4331-be35-ae235da99cf4"
"62f419ce-fb89-4bdd-b409-c552fd77b05c","1 line index for McLennan 1982","2018-02-07 16:12:20.44432+00","2018-04-07 18:07:42.224964+00","364599c1-fc6e-4fc4-8c8c-428dc0680e23"
"a5faade5-8689-49e3-ad7d-a80f4ee8d81f","1 line index","2018-02-07 16:12:21.109489+00","2018-12-19 14:51:39.392856+00","002cb9c7-5ba6-4e20-9fdc-1b20447f35bc"
