"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","mosaic_service_url","ls4_link"
"e3c8833f-d66e-467c-94c8-91a3fbba07f2","DBA-1959","1959-10-15","1959-10-15",t,"","2018-02-07 16:19:42.700674+00","2018-08-29 15:23:49.907727+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"f99d5e67-76a7-444a-a647-eadd6f34342c","CLJ-1966","1966-10-27","1966-10-27",t,"","2018-02-07 16:19:32.196297+00","2018-12-18 14:49:39.87677+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"99b50f62-630c-4846-9295-758b87bd6905","NHAP-1981","1981-11-02","1981-11-02",t,"Portions of roll 227 for Williamson Co.

Lake Median for Bosque Co.","2018-02-07 16:19:29.408144+00","2019-01-09 20:57:09.706524+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"27ac8736-f233-4a82-a7ac-ab092345b80a","DFZ-1971","1971-12-21","1971-12-21",t,"None
PHOTO INDEX","2018-02-07 16:19:55.042615+00","2018-09-06 14:53:19.938668+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"66065fb5-fa23-4c43-bd63-c5de820b4e44","DAU-1954","1954-01-06","1954-01-06",t,"","2018-02-07 16:20:25.811699+00","2018-08-20 22:31:53.601136+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"f25592d0-87b6-4dcd-a738-36f55d71d539","BRJ-1957","1957-11-20","1957-11-20",t,"","2018-02-07 16:19:31.349451+00","2019-02-06 15:31:40.565541+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"df941142-2e1e-455a-9f69-6782e2135792","DYP-1960","1960-03-23","1960-03-23",t,"","2018-02-07 16:19:30.821737+00","2018-12-19 20:39:34.163286+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"932a0f4c-615e-40b2-abe6-6bab6961bf24","DAR-1946","1946-03-04","1946-03-13",t,"","2018-02-07 16:19:56.755967+00","2018-12-19 20:37:55.221044+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"82267114-ef51-4ce8-8296-f3143f2d8ef5","BRJ-1951","1951-06-04","1951-06-04",t,"","2018-02-07 16:19:43.94381+00","2018-09-14 18:29:59.775964+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"5a85a8fc-c91b-4039-b83c-fc84250406b1","VEIX","1977-06-04","1977-06-04",t,"","2018-02-07 16:19:49.417149+00","2018-06-05 15:18:19.067255+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"bec1154b-935e-435b-8173-3552a6b5b802","BRC-1966","1966-01-14","1966-01-14",t,"","2018-02-07 16:19:48.150331+00","2018-12-19 21:10:08.194661+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"065d2202-67fa-4dd2-9dfd-9c09f7abf701","VDJI","1974-01-20","1974-01-20",t,"","2018-02-07 16:19:51.05619+00","2018-06-05 15:42:58.959111+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"3c7e76ca-831e-4443-a05b-92480e40cc8b","CGT","1958-03-26","1958-03-26",t,"","2018-02-07 16:19:44.269629+00","2018-06-29 19:16:59.307825+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"5e64f249-ee86-484a-a248-17a7b30591a6","CRR-1962","1962-12-30","1962-12-30",t,"","2018-02-07 16:19:51.6401+00","2018-09-10 13:21:40.746781+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"6cd534ac-6336-4da5-a134-0e818c9cc308","CGE-1968","1968-12-04","1968-12-05",t,"","2018-02-07 16:19:48.962224+00","2018-12-20 15:14:41.831006+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
