1,state,Texas,2015-01-07 23:31:36,2017-04-19 14:55:39
2,county,Anderson,2015-01-07 23:31:53,2017-04-14 12:28:53
3,county,Andrews,2015-01-07 23:31:53,2017-04-14 12:28:54
4,county,Angelina,2015-01-07 23:31:53,2017-04-14 12:28:54
5,county,Aransas,2015-01-07 23:31:53,2017-04-14 12:28:54
6,county,Archer,2015-01-07 23:31:53,2017-04-14 12:28:54
7,county,Armstrong,2015-01-07 23:31:54,2017-04-14 12:28:55
8,county,Atascosa,2015-01-07 23:31:54,2017-04-14 12:28:55
9,county,Austin,2015-01-07 23:31:54,2017-04-14 12:28:55
10,county,Bailey,2015-01-07 23:31:54,2017-04-14 12:28:56
11,county,Bandera,2015-01-07 23:31:54,2017-04-14 12:28:56
12,county,Bastrop,2015-01-07 23:31:54,2017-04-14 12:28:56
13,county,Baylor,2015-01-07 23:31:54,2017-04-14 12:28:57
14,county,Bee,2015-01-07 23:31:54,2017-04-14 12:28:57
15,county,Bell,2015-01-07 23:31:55,2017-04-14 12:28:57
16,county,Bexar,2015-01-07 23:31:55,2017-04-14 12:28:58
17,county,Blanco,2015-01-07 23:31:55,2017-04-14 12:28:58
18,county,Borden,2015-01-07 23:31:55,2017-04-14 12:28:58
19,county,Bosque,2015-01-07 23:31:55,2017-04-14 12:28:59
20,county,Bowie,2015-01-07 23:31:55,2017-04-14 12:28:59
21,county,Brazoria,2015-01-07 23:31:55,2017-04-14 12:28:59
22,county,Brazos,2015-01-07 23:31:56,2017-04-14 12:29:00
23,county,Brewster,2015-01-07 23:31:56,2017-04-14 12:29:00
24,county,Briscoe,2015-01-07 23:31:56,2017-04-14 12:29:00
25,county,Brooks,2015-01-07 23:31:56,2017-04-14 12:29:01
26,county,Brown,2015-01-07 23:31:56,2017-04-14 12:29:01
27,county,Burleson,2015-01-07 23:31:56,2017-04-14 12:29:01
28,county,Burnet,2015-01-07 23:31:56,2017-04-14 12:29:02
29,county,Caldwell,2015-01-07 23:31:56,2017-04-14 12:29:02
30,county,Calhoun,2015-01-07 23:31:57,2017-04-14 12:29:02
31,county,Callahan,2015-01-07 23:31:57,2017-04-14 12:29:03
32,county,Cameron,2015-01-07 23:31:57,2017-04-14 12:29:03
33,county,Camp,2015-01-07 23:31:57,2017-04-14 12:29:03
34,county,Carson,2015-01-07 23:31:57,2017-04-14 12:29:04
35,county,Cass,2015-01-07 23:31:57,2017-04-14 12:29:04
36,county,Castro,2015-01-07 23:31:57,2017-04-14 12:29:04
37,county,Chambers,2015-01-07 23:31:58,2017-04-14 12:29:04
38,county,Cherokee,2015-01-07 23:31:58,2017-04-14 12:29:05
39,county,Childress,2015-01-07 23:31:58,2017-04-14 12:29:05
40,county,Clay,2015-01-07 23:31:58,2017-04-14 12:29:05
41,county,Cochran,2015-01-07 23:33:06,2017-04-14 12:29:06
42,county,Coke,2015-01-07 23:33:06,2017-04-14 12:29:06
43,county,Coleman,2015-01-07 23:33:06,2017-04-14 12:29:06
44,county,Collin,2015-01-07 23:33:06,2017-04-14 12:29:07
45,county,Collingsworth,2015-01-07 23:33:07,2017-04-14 12:29:07
46,county,Colorado,2015-01-07 23:33:07,2017-04-14 12:29:07
47,county,Comal,2015-01-07 23:33:07,2017-04-14 12:29:08
48,county,Comanche,2015-01-07 23:33:07,2017-04-14 12:29:08
49,county,Concho,2015-01-07 23:33:07,2017-04-14 12:29:08
50,county,Cooke,2015-01-07 23:33:07,2017-04-14 12:29:09
51,county,Coryell,2015-01-07 23:33:07,2017-04-14 12:29:09
52,county,Cottle,2015-01-07 23:33:07,2017-04-14 12:29:09
53,county,Crane,2015-01-07 23:33:08,2017-04-14 12:29:10
54,county,Crockett,2015-01-07 23:33:08,2017-04-14 12:29:10
55,county,Crosby,2015-01-07 23:33:08,2017-04-14 12:29:10
56,county,Culberson,2015-01-07 23:33:08,2017-04-14 12:29:11
57,county,Dallam,2015-01-07 23:33:08,2017-04-14 12:29:11
58,county,Dallas,2015-01-07 23:33:08,2017-04-14 12:29:12
59,county,Dawson,2015-01-07 23:33:08,2017-04-14 12:29:12
61,county,Deaf Smith,2015-01-07 23:33:09,2017-04-14 12:29:12
62,county,Delta,2015-01-07 23:33:09,2017-04-14 12:29:13
63,county,Denton,2015-01-07 23:33:09,2017-04-14 12:29:13
64,county,Dickens,2015-01-07 23:33:09,2017-04-14 12:29:14
65,county,Dimmit,2015-01-07 23:33:09,2017-04-14 12:29:14
66,county,Donley,2015-01-07 23:33:09,2017-04-14 12:29:14
67,county,Duval,2015-01-07 23:33:09,2017-04-14 12:29:15
68,county,Eastland,2015-01-07 23:33:10,2017-04-14 12:29:15
69,county,Ector,2015-01-07 23:33:10,2017-04-14 12:29:15
70,county,Edwards,2015-01-07 23:33:10,2017-04-14 12:29:16
71,county,El Paso,2015-01-07 23:33:10,2017-04-14 12:29:16
72,county,Ellis,2015-01-07 23:33:10,2017-04-14 12:29:16
73,county,Erath,2015-01-07 23:33:10,2017-04-14 12:29:16
74,county,Falls,2015-01-07 23:33:10,2017-04-14 12:29:17
75,county,Fannin,2015-01-07 23:33:11,2017-04-14 12:29:17
76,county,Fayette,2015-01-07 23:33:11,2017-04-14 12:29:17
77,county,Fisher,2015-01-07 23:33:11,2017-04-14 12:29:18
78,county,Floyd,2015-01-07 23:33:11,2017-04-14 12:29:18
79,county,Foard,2015-01-07 23:33:11,2017-04-14 12:29:18
80,county,Fort Bend,2015-01-07 23:33:11,2017-04-14 12:29:19
81,county,Franklin,2015-01-07 23:33:11,2017-04-14 12:29:19
