band_relate_id,created,last_modified,band_type_id,collection_id
7f76ca0b-7da5-4d7e-a91e-14afa4c1fc17,2018-07-30 15:13:09.547822,2018-07-30 15:13:09.547831,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,7a398c54-a7b2-4f67-aa1f-666aebfdfc8f
93f0320c-c531-4957-86a8-7998524138c4,2018-07-30 15:13:09.547966,2018-07-30 15:13:09.547973,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,025591d6-dabf-4242-ab6f-b4ec63f49992
e896053a-f657-4b20-a7f8-c6175a0b3380,2018-07-30 15:13:09.548135,2018-07-30 15:13:09.548142,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,46f82b17-62cc-4e01-8095-f72899ddcae0
751ef8a5-1cb2-4c10-a6e5-70d54df094b9,2018-07-30 15:13:09.548371,2018-07-30 15:13:09.548377,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,eb61aa80-149f-4381-a9b9-4089a65408d7
8cb30a21-9b16-4eeb-b155-35019b501056,2018-07-30 15:13:09.548409,2018-07-30 15:13:09.548414,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,eb61aa80-149f-4381-a9b9-4089a65408d7
4f3fb5bd-4e3f-4c67-a3b9-7c19c8a95bac,2018-07-30 15:13:09.548562,2018-07-30 15:13:09.548569,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,7ac77b5e-6127-4db4-8499-fa3020f37ab5
876e1e73-e379-4d1d-8e1f-d5639a5c669f,2018-07-30 15:13:09.548650,2018-07-30 15:13:09.548656,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,85d8fb09-cc72-442f-9b44-287ed8079dbc
aee99e62-b87b-43a3-a955-c737ac899c1b,2018-07-30 15:13:09.548687,2018-07-30 15:13:09.548692,9c13abc2-e472-470a-8db1-1ca6446199a3,85d8fb09-cc72-442f-9b44-287ed8079dbc
69e2517c-fc85-4ee6-ad58-aa7ba5431193,2018-07-30 15:13:09.548760,2018-07-30 15:13:09.548766,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,837f9c46-0a41-4c59-99f9-cdda4ad4c9f1
884e8f12-3152-4c4d-8732-321e59bd4d74,2018-07-30 15:13:09.548850,2018-07-30 15:13:09.548857,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,74e51b5d-a77f-42e6-b6ee-9826101afb59
d525c456-c600-4b06-8691-8aa560f3d647,2018-07-30 15:13:09.549087,2018-07-30 15:13:09.549094,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,d4c33e51-6871-4395-8eb1-3c752bb51221
75107d54-b782-4af7-ae22-e7f205130dde,2018-07-30 15:13:09.549174,2018-07-30 15:13:09.549180,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,d9f379cf-218a-4e0f-9578-e2d82b82b156
f2276850-3781-4190-be04-130cb5f4e92a,2018-07-30 15:13:09.549210,2018-07-30 15:13:09.549215,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,d9f379cf-218a-4e0f-9578-e2d82b82b156
456191f9-543e-4738-906c-4a1065ac87dd,2018-07-30 15:13:09.549292,2018-07-30 15:13:09.549298,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,a665d1fe-47f4-497c-b467-bb1535a02c9d
897fec27-d337-4733-b5b3-e3943478dff9,2018-07-30 15:13:09.549327,2018-07-30 15:13:09.549333,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,a665d1fe-47f4-497c-b467-bb1535a02c9d
46591c1e-c388-429d-aff2-369b2c51f2ce,2018-07-30 15:13:09.549465,2018-07-30 15:13:09.549471,9c13abc2-e472-470a-8db1-1ca6446199a3,bf44d22e-8606-466c-8f32-b9561da2ace8
82e62bb1-ccd6-4d69-a059-5f909c4b02bb,2018-07-30 15:13:09.549538,2018-07-30 15:13:09.549544,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,39ca6940-f55e-4f09-acd1-58db7d56e2af
cf0ea3c2-699b-4d1b-9467-d7637c2fc623,2018-07-30 15:13:09.549609,2018-07-30 15:13:09.549615,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,6b865af5-7a43-4170-bc02-fc9a542865d5
7a5af786-a094-4dfc-b073-f263f337a2eb,2018-07-30 15:13:09.549762,2018-07-30 15:13:09.549768,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,a40c2ff9-ccac-4c76-99a1-2382c09cf716
da99a9a2-243f-43ee-9cef-1be66f4f48c1,2018-07-30 15:13:09.549799,2018-07-30 15:13:09.549804,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,a40c2ff9-ccac-4c76-99a1-2382c09cf716
d374d341-4fc2-4b75-afc6-687440701140,2018-07-30 15:13:09.550175,2018-07-30 15:13:09.550182,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,38f98cad-be45-4f14-9f02-d5a119f7a134
e11e5788-e68a-4699-99a3-31918b03472a,2018-07-30 15:13:09.550214,2018-07-30 15:13:09.550220,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,38f98cad-be45-4f14-9f02-d5a119f7a134
d0cfe19c-f27c-48ee-8886-d4f3df6f5013,2018-07-30 15:13:09.550309,2018-07-30 15:13:09.550315,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,3dae45f8-5e54-408d-a522-a18e98fb22c9
2d709b3d-cd1c-4767-8bc8-d9546e580216,2018-07-30 15:13:09.550521,2018-07-30 15:13:09.550527,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,8f6f47ec-164b-4a81-9545-3c6414caeea9
b3efa077-30d9-4200-9e0f-f1e153a647a8,2018-07-30 15:13:09.550822,2018-07-30 15:13:09.550828,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,bfb21c12-a2e9-4f00-b1e9-3ad71f15f2f6
