resolution_relate_id,created,last_modified,collection_id,resolution_type_id
13868af5-642a-489c-8994-4fbf1251d88b,2018-08-01 11:05:50.131667,2018-08-01 11:05:50.131670,cafa0c1b-5586-49dc-8f6a-cf1fab93362a,347be2de-0c01-4469-8bf2-ea8f22a5b384
4fb84b35-030d-4ba6-ac80-6728659a4674,2018-08-01 11:05:50.131808,2018-08-01 11:05:50.131810,2407d7a6-c33a-4095-915d-ac464293ef50,528227f2-e1e1-4018-99f8-4ae62821436d
8bf5c894-cf2c-4a27-b64a-203a7622468e,2018-08-01 11:05:50.131915,2018-08-01 11:05:50.131917,9aba8b42-4a55-4687-95aa-5a7cf75c970a,528227f2-e1e1-4018-99f8-4ae62821436d
d1befad2-cac8-4c76-a83d-d3130b764258,2018-08-01 11:05:50.132827,2018-08-01 11:05:50.132829,7a398c54-a7b2-4f67-aa1f-666aebfdfc8f,5685ab92-079f-4ea9-85a2-c2844cfb51e7
5c93c3fd-3dc0-4d13-add9-d9476c14acdc,2018-08-01 11:05:50.133056,2018-08-01 11:05:50.133057,025591d6-dabf-4242-ab6f-b4ec63f49992,856b8002-9da7-4d93-836f-97e14ec1f9ae
ceffe67b-c7d2-4a67-8019-a840fac060ea,2018-08-01 11:05:50.133341,2018-08-01 11:05:50.133343,46f82b17-62cc-4e01-8095-f72899ddcae0,60eda1d7-83ed-4833-9478-6520d8423bb3
8b2aab2a-eefb-4b58-9a36-8c27c743fb34,2018-08-01 11:05:50.133574,2018-08-01 11:05:50.133575,18c52542-dc6f-4a12-88b3-59ecc8e6d53d,1407c25b-40ec-4488-864f-d3c675b96282
5279c0dc-fcde-489e-8baf-bdacd86067f3,2018-08-01 11:05:50.133761,2018-08-01 11:05:50.133763,eb61aa80-149f-4381-a9b9-4089a65408d7,528227f2-e1e1-4018-99f8-4ae62821436d
eda37706-a2d2-4c1b-b377-1183b51977b0,2018-08-01 11:05:50.134015,2018-08-01 11:05:50.134017,7ac77b5e-6127-4db4-8499-fa3020f37ab5,528227f2-e1e1-4018-99f8-4ae62821436d
f3e5342f-9dc0-4eee-ac29-6ea28debdd39,2018-08-01 11:05:50.134141,2018-08-01 11:05:50.134142,85d8fb09-cc72-442f-9b44-287ed8079dbc,528227f2-e1e1-4018-99f8-4ae62821436d
77b0fe08-f50c-4e6a-a8df-4f18c59f6b8a,2018-08-01 11:05:50.134253,2018-08-01 11:05:50.134255,837f9c46-0a41-4c59-99f9-cdda4ad4c9f1,528227f2-e1e1-4018-99f8-4ae62821436d
7ab36b16-5c83-4872-8842-ad77e274c5d4,2018-08-01 11:05:50.134958,2018-08-01 11:05:50.134960,d4c33e51-6871-4395-8eb1-3c752bb51221,5685ab92-079f-4ea9-85a2-c2844cfb51e7
d9433a70-37d6-4647-b979-f1991e30c080,2018-08-01 11:05:50.135079,2018-08-01 11:05:50.135081,d9f379cf-218a-4e0f-9578-e2d82b82b156,856b8002-9da7-4d93-836f-97e14ec1f9ae
ab7951b3-1e9f-448b-86d5-c8c2415b673b,2018-08-01 11:05:50.135200,2018-08-01 11:05:50.135202,a665d1fe-47f4-497c-b467-bb1535a02c9d,856b8002-9da7-4d93-836f-97e14ec1f9ae
f6b5c48d-bf83-4701-b13b-428e378409f4,2018-08-01 11:05:50.135414,2018-08-01 11:05:50.135416,bf44d22e-8606-466c-8f32-b9561da2ace8,60eda1d7-83ed-4833-9478-6520d8423bb3
e49440b5-f84d-42d8-b182-d13387a8b3cc,2018-08-01 11:05:50.135523,2018-08-01 11:05:50.135524,39ca6940-f55e-4f09-acd1-58db7d56e2af,856b8002-9da7-4d93-836f-97e14ec1f9ae
3c4e944e-8e0f-4151-9d9b-89b5f7cc3c0f,2018-08-01 11:05:50.135629,2018-08-01 11:05:50.135631,6b865af5-7a43-4170-bc02-fc9a542865d5,856b8002-9da7-4d93-836f-97e14ec1f9ae
9a29c866-339d-4869-b3ab-7d72f187fd1c,2018-08-01 11:05:50.135847,2018-08-01 11:05:50.135848,a40c2ff9-ccac-4c76-99a1-2382c09cf716,528227f2-e1e1-4018-99f8-4ae62821436d
91e89aa1-f07a-46fa-a265-d1ff2ec47961,2018-08-01 11:05:50.135976,2018-08-01 11:05:50.135978,6a825941-a80b-4a61-a2b2-1da205f2f28b,e806744f-f1d7-4c98-9907-e008589c091b
b6f3bb3e-bb36-4454-86eb-e8c7865458ca,2018-08-01 11:05:50.136126,2018-08-01 11:05:50.136128,27f30e8a-115a-4ad5-ace1-5e2aa4a53a70,2f882368-218d-49d5-b307-52407f055e85
17b7b791-91f9-4fb9-b109-5ce19ea014fb,2018-08-01 11:05:50.136348,2018-08-01 11:05:50.136350,6b475ef7-51e7-4e15-b652-4e942eafa85f,1407c25b-40ec-4488-864f-d3c675b96282
0de53d87-55fa-47dc-b9fb-7b40b14ce3ac,2018-08-01 11:05:50.136623,2018-08-01 11:05:50.136625,38f98cad-be45-4f14-9f02-d5a119f7a134,856b8002-9da7-4d93-836f-97e14ec1f9ae
99b4d811-77bf-466d-b7b4-b250d85bb013,2018-08-01 11:05:50.136756,2018-08-01 11:05:50.136758,3dae45f8-5e54-408d-a522-a18e98fb22c9,60eda1d7-83ed-4833-9478-6520d8423bb3
381d2759-b653-460e-9c1f-35e49f3deabc,2018-08-01 11:05:50.137079,2018-08-01 11:05:50.137081,8f6f47ec-164b-4a81-9545-3c6414caeea9,90857264-f804-46c8-89ee-ebdda95332cc
107e9a20-6e12-495a-9354-ff35d3699afd,2018-08-01 11:05:50.137324,2018-08-01 11:05:50.137326,8ea19b45-7a66-4e95-9833-f9e89611d106,81bb3337-3052-4f5f-a84b-ff1098f90d41
03ce5147-75fd-4130-ad9b-4b000d83c48e,2018-08-01 11:05:50.137523,2018-08-01 11:05:50.137525,7bc5f57d-f679-454f-8fd3-bdffc8d54272,1407c25b-40ec-4488-864f-d3c675b96282
cbde9341-9753-454a-ae42-5a1898dea834,2018-08-01 11:05:50.137722,2018-08-01 11:05:50.137724,bfb21c12-a2e9-4f00-b1e9-3ad71f15f2f6,856b8002-9da7-4d93-836f-97e14ec1f9ae
c73984d0-e1a0-461c-afa4-d0d5b93ecef2,2018-08-01 11:05:50.137904,2018-08-01 11:05:50.137905,d1fde7dc-0b57-4357-b476-8e7f85d75c1b,90857264-f804-46c8-89ee-ebdda95332cc
7d7dc192-db10-4206-bd0e-e6d5a475ea25,2018-08-01 11:05:50.138008,2018-08-01 11:05:50.138010,8375995a-0423-488c-9e3b-5bf76cdccf8f,856b8002-9da7-4d93-836f-97e14ec1f9ae
ff46279d-4c1f-4818-a1fc-61b844403bc7,2018-08-01 11:05:50.138164,2018-08-01 11:05:50.138166,1b7cf97b-1e2f-4a90-935e-982e7aa59e0e,90857264-f804-46c8-89ee-ebdda95332cc
499f6c3a-0f3c-4116-bb0d-b4ce7eec5b90,2018-08-01 11:05:50.138476,2018-08-01 11:05:50.138478,d9ce5448-30a5-46cf-a246-55ba7c8304f0,1407c25b-40ec-4488-864f-d3c675b96282
432350d2-d96d-4586-8924-6c3285ea1339,2018-08-01 11:05:50.138594,2018-08-01 11:05:50.138596,c04085c5-1e1d-43b8-ac4a-6a281fc16317,856b8002-9da7-4d93-836f-97e14ec1f9ae
022316f9-70f0-4bdb-9835-33f306d19b80,2018-08-01 11:05:50.138722,2018-08-01 11:05:50.138724,e334f6b6-8440-43c4-8b2c-17fc713d315c,1407c25b-40ec-4488-864f-d3c675b96282
3ff8d425-86a8-4909-bc21-dcda262a2473,2018-08-01 11:05:50.138877,2018-08-01 11:05:50.138879,0549d3ba-3f72-4710-b26c-28c65df9c70d,1407c25b-40ec-4488-864f-d3c675b96282
a65da08d-0147-471d-a941-87413b87539c,2018-08-01 11:05:50.139202,2018-08-01 11:05:50.139204,73fcedd4-2cfb-46af-83f0-302fae56edaa,528227f2-e1e1-4018-99f8-4ae62821436d
b9e4f232-e4c3-4f0f-b3fb-6a247f709ae7,2018-08-01 11:05:50.139623,2018-08-01 11:05:50.139625,20ec43fd-c276-4410-9ab9-e5dc62ff1e83,90857264-f804-46c8-89ee-ebdda95332cc
d1fd290d-0e17-4832-b9a9-a73b4fab25dc,2018-08-01 11:05:50.139944,2018-08-01 11:05:50.139945,ac2a7fe9-f778-4716-899f-550adc7afa15,81bb3337-3052-4f5f-a84b-ff1098f90d41
6d982921-9727-49d7-9152-17a828acf3ec,2018-08-01 11:05:50.140054,2018-08-01 11:05:50.140055,9e508f50-ced4-4f37-9ec9-18fe2e1ff9b8,856b8002-9da7-4d93-836f-97e14ec1f9ae
ec27da26-2c08-4d57-8e66-94fabbaaaea5,2018-08-01 11:05:50.140170,2018-08-01 11:05:50.140172,8cb0dea3-72c1-4e77-b57b-151b10b07136,5685ab92-079f-4ea9-85a2-c2844cfb51e7
3a2acb0f-bb0c-423b-9bd1-5cad564daf24,2018-08-01 11:05:50.140404,2018-08-01 11:05:50.140406,28f3ddd4-c6e8-4124-bc16-029a7dbe96e5,856b8002-9da7-4d93-836f-97e14ec1f9ae
c5b4f06e-9e38-43bc-8420-37f08ec7f618,2018-08-01 11:05:50.140533,2018-08-01 11:05:50.140534,812c6179-28d7-4829-b99e-ae15d4a7cf5b,528227f2-e1e1-4018-99f8-4ae62821436d
