"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","ls4_link","mosaic_service_url"
"5e9aee7a-472f-4859-8f6f-cf752704612b","DAL-1937","1937-04-01","1937-04-01",t,"","2018-02-07 16:13:56.355168+00","2018-04-24 21:03:06.020706+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"631e32b5-7402-4263-8691-595c7d119e90","DYI-1963","1963-02-27","1963-03-02",t,"","2018-02-07 16:13:43.069002+00","2018-04-24 21:11:29.088959+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"3e97cbf2-bbbd-4bfe-b928-b47233be218f","DAK-1962","1962-01-09","1962-01-29",t,"","2018-02-07 16:13:55.706976+00","2018-04-24 20:54:45.244257+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"4a36a3eb-f168-44b3-89e6-51fbbd986c76","VBCM","1965-01-16","1965-01-16",t,"","2018-02-07 16:13:48.590895+00","2018-04-26 19:51:52.141927+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"5b4a8827-d700-48f6-b288-169c2de8a018","DJS-1972","1972-02-21","1972-02-21",t,"","2018-02-07 16:13:58.965137+00","2018-05-17 16:20:05.879199+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"8572cb44-3451-459c-9343-14fadcf7b0c6","VUS","1958-10-23","1958-10-23",t,"","2018-02-07 16:13:52.740579+00","2018-06-05 15:11:05.563677+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"10e7f935-4883-46b3-a554-2978efac1c73","VBWR-S","1968-12-12","1968-12-12",t,"","2018-02-07 16:13:51.704336+00","2018-06-05 16:30:02.574383+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"2ffe64ff-b733-4b3c-a3e6-ff5719b71264","VARL","1963-05-05","1963-05-05",t,"","2018-02-07 16:14:07.889531+00","2018-06-05 16:44:05.375499+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"35dbda0c-2a89-480e-ae6c-b4517819fa6e","VAGR","1961-07-28","1961-07-28",t,"","2018-02-07 16:13:44.319133+00","2018-06-05 16:48:32.438724+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"1a101028-6189-444a-831e-498bfc639d42","CKW-1968","1968-11-18","1968-11-18",t,"","2018-02-07 16:14:10.812855+00","2018-07-20 18:27:06.274939+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"b38ecaec-d5e7-471a-a6e3-b42484b9c941","BQZ-1968","1968-12-14","1968-12-16",t,"","2018-02-07 16:13:55.039452+00","2018-07-20 19:06:58.461159+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"83cd44c0-b6ed-41de-bc6e-356bde2e21fe","CZ","1977-06-07","1979-08-14",t,"Several sets of GLO imagery from same time period in Calhoun County
South Padre Island
Corpus Christi Bay
Alazan Bay
Galveston Bay
Corpus Christi Bay
Galveston Bay
North Beach","2018-02-07 16:14:42.415323+00","2018-06-05 21:24:17.317535+00","2129e2f4-ab5a-44c5-b8da-410bb957ab52","","","",""
"66bbc6a4-2ebf-4974-a0f4-f4449b8455fb","DYO-1936","1936-11-26","1936-12-13",t,"None
PHOTO INDEX
Contains 83(DY5-74)","2018-02-07 16:14:19.398757+00","2018-08-09 18:46:05.28126+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"a982cdb2-9e5a-4f4f-9944-f0f378afa148","BRF-1977","1977-09-26","1977-09-26",t,"None
Contains portions of rolls 177 & 277.","2018-02-07 16:14:14.506402+00","2018-02-07 16:14:14.506382+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"ef04f718-887d-4756-b96e-8a32b9c81874","EKF-1961","1961-11-04","1961-11-04",t,"None
PHOTO INDEX
Contains portions of roll 1CC.","2018-02-07 16:14:15.261134+00","2018-02-07 16:14:15.261114+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"c5899108-61b9-4b9e-aabb-d0843d1ca168","287525","1976-05-28","1976-05-28",t,"None
Crystal City","2018-02-07 16:14:16.57237+00","2018-02-07 16:14:16.57235+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"6579f04a-e0ef-4523-ac1e-8d9d25a0343f","DAC-1951","1951-01-10","1951-03-04",t,"","2018-02-07 16:14:18.233165+00","2018-06-06 14:27:33.818361+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"86422342-854b-4cb8-91cf-f013c0d03f6d","CGI-1975","1975-11-12","1975-11-12",t,"None
PHOTO INDEX
Contains portions of rolls 175 & 275.","2018-02-07 16:14:17.73653+00","2018-02-07 16:14:17.73651+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
